State,AgencyType,AgencyName,AssaultOffenses,HomicideOffenses,KidnappingAbduction,SexOffenses,SexOffensesNonforcible,Arson,Bribery,BurglaryBreaking&Entering,CounterfeitingForgery,DestructionDamageVandalism,Embezzlement,ExtortionBlackmail,FraudOffenses,LarcenyTheftOffenses,Robbery,StolenPropertyOffenses,DrugNarcoticOffenses,GamblingOffenses,PornographyObsceneMaterial,ProstitutionOffenses,WeaponLawViolations,TotalOffences
COLORADO,Cities,Golden,19.0,0.0,2.0,3.0,0.0,0.0,0.0,6.0,6.0,16.0,0.0,0.0,7.0,39.0,1.0,0.0,29.0,0.0,0.0,0.0,3.0,131.0
COLORADO,Cities,Granby,682.0,4.0,20.0,109.0,6.0,18.0,2.0,311.0,90.0,1115.0,7.0,3.0,299.0,2326.0,29.0,21.0,1044.0,0.0,0.0,1.0,76.0,6163.0
COLORADO,Cities,Grand Junction,1298.0,2.0,19.0,157.0,6.0,33.0,0.0,552.0,111.0,1219.0,36.0,0.0,576.0,2577.0,64.0,16.0,898.0,0.0,7.0,3.0,64.0,7638.0
COLORADO,Cities,Greeley,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
COLORADO,Cities,Green Mountain Falls,93.0,1.0,4.0,10.0,1.0,3.0,0.0,92.0,42.0,47.0,0.0,2.0,110.0,428.0,4.0,4.0,336.0,0.0,0.0,3.0,10.0,1190.0
COLORADO,Cities,Greenwood Village,91.0,0.0,0.0,11.0,1.0,0.0,0.0,16.0,4.0,111.0,6.0,0.0,12.0,215.0,1.0,0.0,64.0,0.0,1.0,0.0,4.0,537.0
COLORADO,Cities,Gunnison,11.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,19.0,0.0,0.0,0.0,7.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,45.0
COLORADO,Cities,Holyoke,71.0,0.0,0.0,3.0,0.0,1.0,0.0,10.0,2.0,37.0,0.0,1.0,23.0,57.0,1.0,0.0,21.0,0.0,0.0,0.0,4.0,231.0
COLORADO,Cities,Idaho Springs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COLORADO,Cities,Ignacio,42.0,0.0,1.0,3.0,0.0,0.0,0.0,9.0,5.0,50.0,2.0,0.0,35.0,72.0,0.0,0.0,16.0,0.0,1.0,0.0,3.0,239.0
COLORADO,Cities,Johnstown,17.0,0.0,0.0,2.0,0.0,1.0,0.0,3.0,0.0,9.0,0.0,0.0,4.0,14.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,51.0
